Minutes Spent,age,device,gender,education,projectID,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,Are you a U.S. citizen and have you already decided to vote for either Joe Biden or Donald Trump for president? (thggqwv),in_GCF_description,in_GCF_risks,Do you consent to participate and agree to these terms? (oo4eyne),agreementScale,America is the best country on earth. (mjzf8w3),I lean conservative on *social* issues (sgmm4bs),Wealthy people are usually wealthy because they worked hard and contributed to society. (h98xuob),There is too much wealth *inequality* in America. (xi8mo6h),Vaccines usually cause more harm than good. (q281jh3),Our country needs free thinkers who have the courage to defy traditional ways. (oin2m4l),"We would be better off if we kicked all the non-citizen immigrants out of our our country, including kicking out those that came here legally. (uox3hud)",There is too much political correctness in this country. (60if1be),My opinion of Donald Trump has gotten worse over the past 4 years. (d1ac29q),"It-s very important that we protect U.S. jobs, and not allow them to disappear to foreign countries. (ailba3w)",We should have a lot of restrictions on the purchase of guns. (jph5o03),There are sometimes good reasons to spank or slap a child. (cp2dqnc),I think that the government should forgive all student debt. (b1r6ndx),Masculinity is mainly a bad thing. (k41q290),Humanity has a significant chance of going extinct in the next 100 years. (iqhz0mc),The fact that animals are commonly kept in tiny cages for most of their lives on factory farms is immoral. (ym9u90o),Corporations should not be trusted. (v40g3rw)
21.9,39,desktop,male,completedAssociateDegreeOnly,500ce6da,10/1/20 11:00,1981,4,United States,"$40,000 to $59,999",0.0,3,50000,5712429,131,10/1/20 15:25,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,-1,3,-3,3.0,-3.0,3.0,-3.0,3.0,-3.0,1.0,-3.0,-3.0,2.0,3.0,3.0
32.62,53,desktop,female,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 11:03,1967,2,United States,"$25,000 to $39,999",1.0,2,32500,5712415,131,10/1/20 15:19,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-2,3,-2,2.0,-2.0,2.0,3.0,1.0,3.0,-1.0,3.0,-2.0,-2.0,3.0,-1.0
7.92,28,desktop,female,completedMastersDegree,500ce6da,10/1/20 11:04,1992,6,United States,"$85,000 to $114,999",1.0,5,100000,5712384,131,10/1/20 15:06,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,1,3,1,1.0,1.0,-1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
68.92,38,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:05,1982,5,United States,"$60,000 to $84,999",0.0,4,72500,5712380,131,10/1/20 15:05,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,3,1,-3,2.0,-3.0,3.0,1.0,1.0,-1.0,1.0,-3.0,-3.0,-3.0,1.0,-2.0
18.28,35,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 11:11,1985,5,United States,"$25,000 to $39,999",1.0,2,32500,5712400,131,10/1/20 15:13,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,1,0,1,-1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0
26.3,32,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 11:13,1988,5,United States,"$60,000 to $84,999",1.0,4,72500,5712401,131,10/1/20 15:13,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,2,-3,-1.0,-2.0,3.0,-2.0,3.0,1.0,1.0,-3.0,-2.0,-2.0,3.0,1.0
41.85,25,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:13,1995,5,United States,"$25,000 to $39,999",0.0,2,32500,5712428,131,10/1/20 15:24,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,3,2,3.0,0.0,2.0,3.0,3.0,3.0,2.0,1.0,-3.0,2.0,-3.0,0.0
12.93,41,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:20,1979,5,United States,"$40,000 to $59,999",0.0,3,50000,5712421,131,10/1/20 15:22,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,3,0,2,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
24.1,37,desktop,female,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 11:21,1983,2,United States,"$85,000 to $114,999",1.0,5,100000,5712487,131,10/1/20 15:54,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-1,3,-3,3.0,-3.0,-1.0,3.0,2.0,3.0,-3.0,3.0,-3.0,3.0,3.0,3.0
24.78,49,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:23,1971,5,United States,"$40,000 to $59,999",0.0,3,50000,5712431,131,10/1/20 15:26,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,1,1,2,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0
59.45,24,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:26,1996,5,United States,"$85,000 to $114,999",0.0,5,100000,5712432,131,10/1/20 15:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,1,0,-3,0.0,0.0,0.0,-3.0,2.0,2.0,0.0,1.0,-3.0,-1.0,0.0,0.0
45.05,40,desktop,female,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 11:29,1980,2,United States,"$60,000 to $84,999",1.0,4,72500,5712444,131,10/1/20 15:33,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,1,3,-3,2.0,-3.0,0.0,3.0,2.0,3.0,-3.0,3.0,-1.0,2.0,3.0,2.0
33.92,23,desktop,other,completedBachelorsDegree,500ce6da,10/1/20 11:32,1997,5,United States,"$25,000 to $39,999",2.0,2,32500,5712442,131,10/1/20 15:33,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-3,3,-3,2.0,-3.0,-3.0,3.0,1.0,2.0,-3.0,2.0,0.0,2.0,3.0,3.0
12.83,35,desktop,female,completedMastersDegree,500ce6da,10/1/20 11:34,1985,6,United States,"$40,000 to $59,999",1.0,3,50000,5712446,131,10/1/20 15:34,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,-1,1,1.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,-1.0,2.0,0.0
28.52,71,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:38,1949,5,United States,"$60,000 to $84,999",0.0,4,72500,5712452,131,10/1/20 15:39,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,1,3,3,0.0,-1.0,3.0,-3.0,3.0,1.0,1.0,-2.0,-3.0,2.0,2.0,3.0
19.27,37,desktop,male,completedMastersDegree,500ce6da,10/1/20 11:40,1983,6,United States,"$60,000 to $84,999",0.0,4,72500,5712458,131,10/1/20 15:42,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",2,,1,1,1,2.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
16.88,30,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:46,1990,5,United States,"Less than $9,999",0.0,0,4500,5712469,131,10/1/20 15:47,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,-3,3,-3,3.0,-3.0,-3.0,3.0,0.0,3.0,-3.0,3.0,1.0,3.0,3.0,3.0
43.57,25,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:48,1995,5,United States,"$60,000 to $84,999",0.0,4,72500,5712476,131,10/1/20 15:50,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",2,,3,2,1,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0
20.07,35,desktop,male,completedMastersDegree,500ce6da,10/1/20 11:48,1985,6,United States,"$40,000 to $59,999",0.0,3,50000,5712479,131,10/1/20 20:51,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,1,1,3.0,1.0,1.0,3.0,1.0,-3.0,1.0,-1.0,3.0,-1.0,1.0,1.0
25.53,51,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:49,1969,5,United States,"$25,000 to $39,999",0.0,2,32500,5712477,131,10/1/20 15:50,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,0,3,-3,3.0,-2.0,1.0,3.0,2.0,3.0,-1.0,0.0,-1.0,3.0,2.0,1.0
36.97,48,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:53,1972,5,United States,"$40,000 to $59,999",0.0,3,50000,5712486,131,10/1/20 15:54,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,1,-1,-3,3.0,-3.0,3.0,3.0,1.0,3.0,-1.0,-3.0,-3.0,-3.0,1.0,0.0
16.82,29,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 11:54,1991,5,United States,"$40,000 to $59,999",0.0,3,50000,5712489,131,10/1/20 15:54,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,2,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
36.63,61,desktop,female,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 11:59,1959,2,United States,"$10,000 to $24,999",1.0,1,17500,5712502,131,10/1/20 16:00,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,-3,3,-2,2.0,-3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0
24.0,29,desktop,other,completedBachelorsDegree,500ce6da,10/1/20 12:06,1991,5,United States,"Less than $9,999",2.0,0,4500,5712512,131,10/1/20 16:06,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,-3,3,-3,3.0,-3.0,-3.0,3.0,-3.0,3.0,-3.0,0.0,0.0,0.0,1.0,3.0
41.95,26,desktop,female,completedBachelorsDegree,500ce6da,10/1/20 12:08,1994,5,United States,"$40,000 to $59,999",1.0,3,50000,5712517,131,10/1/20 16:09,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",0,,-3,3,-2,3.0,-3.0,0.0,1.0,2.0,0.0,-3.0,3.0,3.0,-3.0,1.0,2.0
22.63,54,desktop,female,completedTradeTechicalVocationalTraing,500ce6da,10/1/20 12:10,1966,3,United States,"$25,000 to $39,999",1.0,2,32500,5712521,131,10/1/20 16:11,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,2,0,-2,-3.0,-3.0,3.0,-1.0,2.0,1.0,-1.0,0.0,-3.0,0.0,0.0,-1.0
26.77,41,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 12:10,1979,2,United States,"$25,000 to $39,999",0.0,2,32500,5712526,131,10/1/20 16:12,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-3,3,-3,3.0,-2.0,0.0,1.0,1.0,-1.0,-2.0,3.0,1.0,1.0,3.0,2.0
22.97,49,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 12:12,1971,5,United States,"$85,000 to $114,999",0.0,5,100000,5712528,131,10/1/20 16:13,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,-1,3,-3,2.0,-3.0,0.0,3.0,0.0,2.0,0.0,2.0,-1.0,1.0,2.0,2.0
27.23,32,desktop,male,completedMastersDegree,500ce6da,10/1/20 12:12,1988,6,United States,"$25,000 to $39,999",0.0,2,32500,5712543,131,10/1/20 16:17,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,3,0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0
36.23,59,desktop,female,completedAssociateDegreeOnly,500ce6da,10/1/20 12:12,1961,4,United States,"$25,000 to $39,999",1.0,2,32500,5712527,131,10/1/20 16:12,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-1,,-1,3,-2,2.0,-2.0,-2.0,3.0,2.0,2.0,-2.0,1.0,-1.0,-2.0,0.0,0.0
31.7,27,desktop,male,completedMastersDegree,500ce6da,10/1/20 12:13,1993,6,United States,"$60,000 to $84,999",0.0,4,72500,5712590,131,10/1/20 16:39,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,1,0,-1,2.0,2.0,2.0,-2.0,2.0,2.0,1.0,3.0,-2.0,3.0,0.0,2.0
19.45,42,desktop,male,completedMastersDegree,500ce6da,10/1/20 12:14,1978,6,United States,"$60,000 to $84,999",0.0,4,72500,5712536,131,10/1/20 16:15,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-1,3,-3,3.0,0.0,3.0,3.0,3.0,2.0,3.0,-3.0,-3.0,3.0,3.0,2.0
31.02,35,desktop,male,completedMastersDegree,500ce6da,10/1/20 12:19,1985,6,United States,"$60,000 to $84,999",0.0,4,72500,5712570,131,10/1/20 16:29,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",0,,0,3,-3,2.0,-3.0,-1.0,3.0,0.0,1.0,-3.0,-1.0,0.0,-1.0,1.0,0.0
