Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,Do you consent to participate and agree to these terms? (oo4eyne),in_progressIncrement,What are your current meditative and spiritual practices? Please tick all that apply. (ua0spdk),spiritualPracticeChecklistAnswers,Please share your current meditative and spiritual practices. (yj7qwt4),freetextifSomethingElseisaPractice,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (dxbqro5)","Over your whole lifetime, approximately how many total hours of formal meditation practice, prayer, or mindful contemplation from any spiritual tradition have you done? (2eykr8v)",hoursofMindFocusedPracticeLifetime,"Over your whole lifetime, approximately how many total hours of other formal breath or movement-based practice have you done (for example, yoga, tai chi, qi gong, martial arts, but NOT including activities such as team sports or athletics). (fsr58uk)",hoursofBodyFoucsedPracticeLifetime,out_progress,"Have you ever taken psychedelic drugs and then experienced lasting, significant or sudden change to your emotions, paradigms, habits, sense of identity, or perception of life? (cgjc4xu)",drugImpacts,"Have you ever explicitly attempted any formal magical, divine or occult practices, such as healing prayer, banishing, spirit contact, mind reading, clairvoyance, divination, astral travel, spell casting, or telekinesis? (a250clw)",magicalPracticesFreq,"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-? (nd7atoc)",supernaturalExperiences,"Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-. (e0kzqd7)",freetextifSomethingElseisanExperience,"Have you ever had sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded? (eczytws)",unusualNondrugMentalEvents,"Please share any other sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded. (iyy6byr)",freetextNondrugMentalEventswereSomethingElse,Please write the number of retreats you-ve attended. (ulbtcpw),noRetreats,Please estimate the total number of days you-ve had on retreats so far in your life. (261my3q),noDaysofRetreat,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (fz15ziw)",Please estimate the total number of days you-ve spent on retreats so far in your life. (ogyyvcs),"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-? (ovc05rd)","Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-. (x3yjzfj)","Sometimes these unusual mental events are seen in positive and-or transformative terms, even if they weren-t all pleasant. Which of these terms (or their very near equivalents) you have ever thought might reasonably apply to what was going on with you? (rf9besl)"
10.93,0,5959218,54,12/21/20 19:37,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,40,40,20.0,20.0,0.84,,-1,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts""]",,,"Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, something else","[""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, something else""]",MOSTLY LAZYINESS,MOSTLY LAZYINESS,20.0,20.0,,40.0,I've attended at least one.,40.0,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts",,Ultimate Reality
7.63,0,5959262,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
4.47,0,5959290,54,12/21/20 19:44,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,15,15,2.0,2.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
7.65,0,5959271,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,3000,3000,3000.0,3000.0,0.84,,unsure,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
10.02,0,5959241,54,12/21/20 19:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,1000,1000,500.0,500.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
11.48,0,5959225,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,100,100,50.0,50.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,5.0,I've attended at least one.,5.0,"No, I have never had such experiences",,Cosmic Oneness
10.65,0,5959238,54,12/21/20 19:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,12000,12000,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,3.0,3.0,,6.0,I've attended at least one.,6.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
9.42,0,5959266,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,250,250,300.0,300.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, I have had inexplicable knowledge of something that had not yet happened",,"Extremely rapid perception of “mind moments”,Dissolution in the Love and/or Will of God,Awakening,Peak Experience,Cosmic Oneness,Enlightenment"
12.53,0,5959228,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""Yes, I have experience of leaving my body behind to travel to some other place""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have experience of leaving my body behind to travel to some other place",,Other
6.93,0,5959292,54,12/21/20 19:44,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Islamic prayer or spiritual practice"",""Jewish prayer or spiritual practice"",""Hindu spiritual practice"",""Goenka-based vipassana or body scanning"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,1,1,1.0,1.0,0.84,,0,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had visions of other places or objects not physically present""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had visions of other places or objects not physically present",,"Samadhi,Peak Experience,Psychic powers,Cosmic Consciousness,Dissolution in the Love and/or Will of God,Ultimate Reality"
10.93,0,5959265,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,8,8,7.0,7.0,0.84,,-1,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,11.0,11.0,,50.0,I've attended at least one.,50.0,"Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Awakening,I read the question, but I never thought any of these applied to me,Non-Duality"
9.25,0,5959280,54,12/21/20 19:42,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Islamic prayer or spiritual practice"",""Christian prayer or spiritual practice""]",,,,8,8,5.0,5.0,0.84,,-1,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other places or objects not physically present""]",,,"Yes, I had my point of view suddenly shift out of my body to a different perspective","[""Yes, I had my point of view suddenly shift out of my body to a different perspective""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other places or objects not physically present",,"Knowledge and Conversation of one’s Holy Guardian Angel,Nirvana/Nibbana"
10.65,0,5959240,54,12/21/20 19:41,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,200,200,80.0,80.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,3.0,I've attended at least one.,3.0,"Yes, I have had inexplicable knowledge of something that had not yet happened",,"I read the question, but I never thought any of these applied to me"
16.05,0,5959204,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,1,1,1.0,1.0,0.84,,1,Yes – I did this a little in the past,1,,"[""Yes, something else""]",,"I know all of you have been well prepared for the “Wonderful. World of Literature” in which we will delve into a wide selection of fiction, drama, and poetry.","Yes, I have similar effects as part of supernatural or psychic experiences","[""Yes, I have similar effects as part of supernatural or psychic experiences""]",,,3.0,3.0,,2.0,I've attended at least one.,2.0,"Yes, something else","I know all of you have been well prepared for the “Wonderful. World of Literature” in which we will delve into a wide selection of fiction, drama, and poetry.",Ultimate Reality
7.85,0,5959291,54,12/21/20 19:45,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,1,1,1.0,1.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
6.85,0,5959299,54,12/21/20 19:46,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I've attended at least one. | I haven't attended any.,,"No, I have never had such experiences",,"Enlightenment,Breakthrough Experience,Awakening"
9.87,0,5959283,54,12/21/20 19:43,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,120,120,20.0,20.0,0.84,,,Yes – I do this a little now,3,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about"",""Yes, something else""]",,I was able to tell a person about a loved one that they passes. I didn't know the person or their loved one. I have also seen a ghost.,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,3.0,3.0,,4.0,I've attended at least one.,4.0,"Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of what somebody else was thinking about,Yes, something else",I was able to tell a person about a loved one that they passes. I didn't know the person or their loved one. I have also seen a ghost.,"Breakthrough Experience,Divine Revelation,Awakening,Cosmic Consciousness,Dissolution in the Love and/or Will of God"
7.53,0,5959297,54,12/21/20 19:46,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,26767,26767,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Dissolution in the Love and/or Will of God,Enlightenment,Conversion Experience,Divine Revelation"
16.3,0,5959224,54,12/21/20 19:38,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,560,560,2920.0,2920.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"Yes, I have had inexplicable knowledge of something that had not yet happened",,"Conversion Experience,Divine Revelation"
3.17,0,5959330,54,12/21/20 19:51,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,86,86,6.0,6.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,4.0,I've attended at least one.,4.0,"No, I have never had such experiences",,"Awakening,Divine Revelation"
5.62,0,5959311,54,12/21/20 19:49,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,2,2,5.0,5.0,0.84,,unsure,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other places or objects not physically present"",""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames,Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I saw bright lights that were not physically present,Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience","[""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames"",""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I saw bright lights that were not physically present"",""Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other places or objects not physically present,Yes, I have experience of leaving my body behind to travel to some other place,Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Enlightenment,Breakthrough Experience,Spiritual Ecstasy,Knowledge and Conversation of one’s Holy Guardian Angel"
14.3,0,5959276,54,12/21/20 19:42,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,5,5,4.0,4.0,0.84,,-1,Yes – I did this a lot in the past,2,,"[""Yes, I have had visions of other places or objects not physically present"",""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly had some of my sensory input turn into discrete rapidly strobing frames"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,2.0,2.0,,12.0,I've attended at least one.,12.0,"Yes, I have had visions of other places or objects not physically present,Yes, I have had inexplicable knowledge of something that had not yet happened",,"Samadhi,Buddha Nature"
17.68,0,5959236,54,12/21/20 19:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,52,52,80.0,80.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation,Yes, something else","[""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation"",""Yes, something else""]","A few time I just suddenly felt ""good"" - relaxed, stress free, happy with my life - in the midst of an otherwise stressful time in my life","A few time I just suddenly felt ""good"" - relaxed, stress free, happy with my life - in the midst of an otherwise stressful time in my life",,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
5.18,0,5959336,54,12/21/20 19:52,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Jewish prayer or spiritual practice"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,10,10,50.0,50.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
5.73,0,5959337,54,12/21/20 19:53,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,1,1,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,
12.2,0,5959302,54,12/21/20 19:46,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Christian prayer or spiritual practice""]",,,,50,50,40.0,40.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Spiritual Ecstasy,Enlightenment"
6.52,0,5959338,54,12/21/20 19:53,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Extremely rapid perception of “mind moments”
12.77,0,5959303,54,12/21/20 19:47,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)""]",,,,2000,2000,0.0,0.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation,Yes, I have similar effects as part of supernatural or psychic experiences","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation"",""Yes, I have similar effects as part of supernatural or psychic experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Ego Dissolution,Ultimate Reality,Breakthrough Experience,Cosmic Consciousness,Enlightenment,Spiritual Ecstasy,Awakening"
5.08,0,5959351,54,12/21/20 19:56,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",beer,beer,,1,1,1.0,1.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,1.0,I've attended at least one.,1.0,"No, I have never had such experiences",,"Other,Enlightenment"
17.6,0,5959294,54,12/21/20 19:45,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,3.0,3.0,,20.0,I've attended at least one.,20.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
27.43,0,5959200,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)"",""Something else""]","While I do not strictly consider myself a Christian, I was raised in a very Christian household. As such, my current spiritual practices include many Christian traditions such as prayer and meditation on scripture. I also incorporate more current Western ideals of mindfulness and mental presence. I frequently meditate on the meaning of love and kindness and how I can better apply those principles to myself and others.","While I do not strictly consider myself a Christian, I was raised in a very Christian household. As such, my current spiritual practices include many Christian traditions such as prayer and meditation on scripture. I also incorporate more current Western ideals of mindfulness and mental presence. I frequently meditate on the meaning of love and kindness and how I can better apply those principles to myself and others.",,15000,15000,50.0,50.0,0.84,,,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other places or objects not physically present""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,2.0,2.0,,6.0,I've attended at least one.,6.0,"Yes, I have had visions of other places or objects not physically present",,"Cosmic Oneness,Cosmic Consciousness,Divine Revelation,Dissolution in the Love and/or Will of God"
12.27,0,5959328,54,12/21/20 19:51,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,100 | 100,100,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,2.0,2.0,,14.0,I've attended at least one. | I haven't attended any.,14.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
7.45,0,5959359,54,12/21/20 19:57,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Yoga, tai chi, or other formal breath and movement work including martial arts"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,100,100,100.0,100.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,4.0,I've attended at least one.,4.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
7.27,0,5959363,54,12/21/20 19:57,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Divine Revelation,Breakthrough Experience"
5.33,0,5959383,54,12/21/20 19:59,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,100,100,1.0,1.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,0.0,0.0,,20.0,I've attended at least one.,20.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
7.95,0,5959361,54,12/21/20 19:57,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,24,24,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.53,0,5959375,54,12/21/20 19:59,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,100,100,5.0,5.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that had not yet happened""]",,,"Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,2.0,2.0,,4.0,I've attended at least one.,4.0,"Yes, I have had inexplicable knowledge of something that had not yet happened",,"Breakthrough Experience,Enlightenment,Awakening"
14.95,0,5959334,54,12/21/20 19:51,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice"",""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,800,800,10.0,10.0,0.84,,1,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts",,"I read the question, but I never thought any of these applied to me"
31.58,0,5959209,54,12/21/20 19:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,60,60,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god","[""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god""]",,,4.0,4.0,,4.0,I've attended at least one.,4.0,"Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Divine Revelation,Cosmic Consciousness"
9.97,0,5959368,54,12/21/20 19:58,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Christian prayer or spiritual practice""]",,,,500,500,20.0,20.0,0.84,,"[-1,1]",No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"Chakras and/or energy channels,Awakening,Breakthrough Experience"
19.67,0,5959318,54,12/21/20 19:50,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Western mindfulness (e.g. mindfulness meditation, paying attention to the present moment)""]",,,,2000,2000,0.0,0.0,0.84,,,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other places or objects not physically present"",""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation,Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience,Yes, I have similar effects as part of supernatural or psychic experiences","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation"",""Yes, I suddenly lost consciousness in the midst of a meditative or spiritual experience"",""Yes, I have similar effects as part of supernatural or psychic experiences""]",,,,,,,I haven't attended any.,,"Yes, I have had visions of other places or objects not physically present,Yes, I have experience of leaving my body behind to travel to some other place,Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Enlightenment,Breakthrough Experience,Conversion Experience"
