Minutes Spent,Points,age,device,gender,education,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,numberOfTotalSections,in_progressIncrement,User,Do you consent to participate and agree to these terms? (tt8ht02),partOfAnotherStudy,Please describe what you view as the *single biggest problem* in your life right now. (oeneidz),biggestLifeProblem,Which *one* of these categories best matches what you described as the biggest problem in your life right now? (vldz3v3),biggestProblem,biggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about? If so, choose the category that best describes this problem. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (49929eh)",biggestProblem2nd,biggestProblem2ndType,Do you think this would still be *one of your two biggest* problems in life if we were not currently going through the global COVID-19 pandemic? (61017ps),biggestProblemStillWouldBeWithoutCOVID,Please describe what you view as your *second* biggest problem in your life right now. (zxeicxk),secondBiggestLifeProblem,Which *one* of these categories best matches what you described as the *second* biggest problem in your life right now? (qtqzid2),secondBiggestProblem,secondBiggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about (shown above)? If so, choose the category that best describes this second biggest problem of yours. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (1zmhlg8)",secondBiggestProblem2nd
16.3,0,41,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1979,2,United States,"$60,000 to $84,999",1,4,72500,5805997,5,11/6/20 16:51,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life right now is lack of mobility. I have a car but it has mechanical issues, I can drive but I don't have a license so I don't drive on my own.,The single biggest problem in my life right now is lack of mobility. I have a car but it has mechanical issues, I can drive but I don't have a license so I don't drive on my own.,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem in life is loneliness. I want to find the right partner and move away from the area I'm in now.,My second biggest problem in life is loneliness. I want to find the right partner and move away from the area I'm in now.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social
25.38,0,45,desktop,female,completedBachelorsDegree,11/6/20 11:41,1975,5,United States,"$60,000 to $84,999",1,4,72500,5805950,5,11/6/20 16:42,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My single biggest problem in my life right now is the fact that I have dysautonomia. It hampers so much of my life and has taken so much away from me.,My single biggest problem in my life right now is the fact that I have dysautonomia. It hampers so much of my life and has taken so much away from me.,*Health issue*: I have health problems or an illness,unemployment,health,*Health issue*: I have health problems or an illness,none,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I don't make enough money.,I don't make enough money.,*Low income*: I don't have enough income,notEnoughIncome,money,*Health issue*: I have health problems or an illness,unemployment
22.93,0,53,desktop,male,completedBachelorsDegree,11/6/20 11:43,1967,5,United States,"$60,000 to $84,999",0,4,72500,5805962,5,11/6/20 16:44,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My biggest problem is that I am 53 years old and not saving enough money.  As a result, my mid-term financial future is in question and my ability to save adequately for retirement is in serious doubt.","My biggest problem is that I am 53 years old and not saving enough money.  As a result, my mid-term financial future is in question and my ability to save adequately for retirement is in serious doubt.",*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals,goals,"No, it would not",0,I am lonely.  I divorced a bit over a year ago and in the present COVID environment do not have sufficient opportunity to meet new people.,I am lonely.  I divorced a bit over a year ago and in the present COVID environment do not have sufficient opportunity to meet new people.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
23.03,0,44,desktop,male,completedTradeTechicalVocationalTraing,11/6/20 11:41,1976,3,United States,"$25,000 to $39,999",0,2,32500,5805964,5,11/6/20 16:44,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I am suffering from severe pain in my stomach, hips, knees, and ankles.","I am suffering from severe pain in my stomach, hips, knees, and ankles.",*Health issue*: I have health problems or an illness,unemployment,health,*Injury or disability*: I have a physical disability or injury,physicalDisability,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I cannot leave my home because I am susceptible to coronavirus from Pre-existing conditions. I'm very lonely..,I cannot leave my home because I am susceptible to coronavirus from Pre-existing conditions. I'm very lonely..,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression
25.93,0,37,desktop,male,completedBachelorsDegree,11/6/20 11:41,1983,5,United States,"$25,000 to $39,999",0,2,32500,5805957,5,11/6/20 16:43,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"i think the biggest problem in life is covid as of now, because it restricts us from bring us normal and it restricts my family in a circle. My wife could not go to work and it affects my family and also my children","i think the biggest problem in life is covid as of now, because it restricts us from bring us normal and it restricts my family in a circle. My wife could not go to work and it affects my family and also my children",*Disorganization*: I am too disorganized,disorganized,behavior,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Second biggest problem is total  income of my family and it is hard to run my family in low income,Second biggest problem is total  income of my family and it is hard to run my family in low income,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet,social,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead
27.73,0,49,desktop,male,completedAssociateDegreeOnly,11/6/20 11:41,1971,4,United States,"$25,000 to $39,999",0,2,32500,5805949,5,11/6/20 16:42,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Lack of employment and opportunities to make money.,Lack of employment and opportunities to make money.,*Low income*: I don't have enough income,notEnoughIncome,money,*Low income*: I don't have enough income,none,money,"No, it would not",0,Insufficient health care,Insufficient health care,*Health issue*: I have health problems or an illness,unemployment,health,*Health issue*: I have health problems or an illness,none
24.52,0,40,desktop,female,completedBachelorsDegree,11/6/20 11:48,1980,5,United States,"$40,000 to $59,999",1,3,50000,5805983,5,11/6/20 16:48,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The Election and the uncertainty of it. I am shocked and appalled at how things are going. There should never be any stories of fraud in the most important election in the world. This country is turning into a childish immature joke. I am disgusted at the lengths that are being taken to gain control.,The Election and the uncertainty of it. I am shocked and appalled at how things are going. There should never be any stories of fraud in the most important election in the world. This country is turning into a childish immature joke. I am disgusted at the lengths that are being taken to gain control.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*None of these categories apply other than the one I already picked on the last question*,none,none,"No, it would not",0,I feel that the COVID virus was used as an excuse to execute a plan to interject into an election a way of voting that was not done before. A way to muddy the water.,I feel that the COVID virus was used as an excuse to execute a plan to interject into an election a way of voting that was not done before. A way to muddy the water.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude
16.95,0,45,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:56,1975,2,United States,"$85,000 to $114,999",1,5,100000,5806024,5,11/6/20 16:56,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,my biggest problem is trying to lose weight due to having a bad thyroid,my biggest problem is trying to lose weight due to having a bad thyroid,*Health issue*: I have health problems or an illness,unemployment,health,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I think I need glasses because my eye sight seems to be worse as I age,I think I need glasses because my eye sight seems to be worse as I age,*Health issue*: I have health problems or an illness,unemployment,health,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind
17.38,0,26,desktop,male,completedBachelorsDegree,11/6/20 11:41,1994,5,United States,"$40,000 to $59,999",0,3,50000,5806022,5,11/6/20 16:56,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"coronavirus- family members getting sick, staying safe, working through those challenges","coronavirus- family members getting sick, staying safe, working through those challenges","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",none,possibleBadFutureEvent,"Yes, it still would likely be one of my two biggest life problems without COVID",1,second biggest problem in my life would be finances. making enough money to cover everything,second biggest problem in my life would be finances. making enough money to cover everything,*Low income*: I don't have enough income,notEnoughIncome,money,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen
10.3,0,29,desktop,male,completedBachelorsDegree,11/6/20 11:50,1991,5,United States,"$10,000 to $24,999",0,1,17500,5806040,5,11/6/20 17:04,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I was once into drugs, and it almost ruined my entire life, I was admitted into a correction school so I can get better.","I was once into drugs, and it almost ruined my entire life, I was admitted into a correction school so I can get better.","*Procrastination*: I procrastinate too much, or am lazy, or lack self-discipline, or don't feel motivated",procrastinationOrLaziness,behavior,*Bad habits*: I have bad habits that I struggle to break (*not* including addiction to drugs or alcohol),negativeAttitude,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is not being successful. I wish to have good and fancy things.,My second biggest problem is not being successful. I wish to have good and fancy things.,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals,goals,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue
13.62,0,35,desktop,male,completedBachelorsDegree,11/6/20 11:58,1985,5,United States,"$10,000 to $24,999",0,1,17500,5806030,5,11/6/20 17:01,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,i have fear about losing jobs,i have fear about losing jobs,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,my financial status,my financial status,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",none
10.28,0,35,desktop,female,completedMastersDegree,11/6/20 11:41,1985,6,United States,"$25,000 to $39,999",1,2,32500,5806045,5,11/6/20 17:05,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Not having a stable work envrionment,Not having a stable work envrionment,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude,psychology,"*Mental Health (other)*: I have other mental health challenges (*not* including anxiety or depression) - for instance bi-polar disorder, psychosis, borderline personality disorder, anorexia, etc.",otherMentalHealthNotAnxietyDepression,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Not feeling like I'm learning enough in school,Not feeling like I'm learning enough in school,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude
33.98,0,73,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1947,2,United States,"$25,000 to $39,999",1,2,32500,5805955,5,11/6/20 16:43,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest is my finances. We are doing better but need a lot of things done around the house and one care is broke down.,The single biggest is my finances. We are doing better but need a lot of things done around the house and one care is broke down.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is my weight. I recently started staying with a lady friend of mine who is in bad health part-time I was doing well on my eating plan and had lost some weight. Staying with her has gotten me off track because she has a lot of sweets around and I am cooking for her when I stay.,My second biggest problem is my weight. I recently started staying with a lady friend of mine who is in bad health part-time I was doing well on my eating plan and had lost some weight. Staying with her has gotten me off track because she has a lot of sweets around and I am cooking for her when I stay.,*Obesity*: I am obese or weigh too much,obsesity,health,*Bad habits*: I have bad habits that I struggle to break (*not* including addiction to drugs or alcohol),negativeAttitude
5.68,0,36,desktop,male,completedBachelorsDegree,11/6/20 12:08,1984,5,United States,"$40,000 to $59,999",0,3,50000,5806073,5,11/6/20 17:11,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,love,love,*Tiredness*: I sleep badly or feel tired most of the time,sleepOrFatigue,health,"*Mental Health (other)*: I have other mental health challenges (*not* including anxiety or depression) - for instance bi-polar disorder, psychosis, borderline personality disorder, anorexia, etc.",otherMentalHealthNotAnxietyDepression,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,moneylessness,moneylessness,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead,behavior,"*Negative attitude*: I have a negative, pessimistic or cynical attitude",negativeAttitude
22.82,0,28,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:54,1992,2,United States,"$10,000 to $24,999",0,1,17500,5806018,5,11/6/20 16:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I am feeling very lonely do to the isolation that is being caused by the pandemic. I don't get to see my family, and we have already cancelled our holiday plans for this year. I work mostly from home, so I don't even get much social interaction from work.","I am feeling very lonely do to the isolation that is being caused by the pandemic. I don't get to see my family, and we have already cancelled our holiday plans for this year. I work mostly from home, so I don't even get much social interaction from work.","*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"No, it would not",0,"There is some fighting in my family due to political differences. My mother and sister are no longer talking to each other, and I'm worried about how this will effect our family dynamic going forward.","There is some fighting in my family due to political differences. My mother and sister are no longer talking to each other, and I'm worried about how this will effect our family dynamic going forward.",*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers,social,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships
24.08,0,42,desktop,female,completedBachelorsDegree,11/6/20 11:41,1978,5,United States,"$25,000 to $39,999",1,2,32500,5806017,5,11/6/20 16:53,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"My biggest problem is my finances, it seems that no matter how hard I work, I am not making it. I am tired of living paycheck to paycheck and that is I lose my job I will be homeless with my children. I am scared that is something happens to me we will not survive.","My biggest problem is my finances, it seems that no matter how hard I work, I am not making it. I am tired of living paycheck to paycheck and that is I lose my job I will be homeless with my children. I am scared that is something happens to me we will not survive.",*Low income*: I don't have enough income,notEnoughIncome,money,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"Yes, it still would likely be one of my two biggest life problems without COVID",1,The second biggest problem is my health and the corvid virus.,The second biggest problem is my health and the corvid virus.,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"*Social conflict*: I have conflict or problems in one or more of my important social relationships (e.g., with a family member, boss, friend, or spouse)",conflictInSocialRelationships
25.63,0,66,desktop,female,completedTradeTechicalVocationalTraing,11/6/20 11:46,1954,3,United States,"$10,000 to $24,999",1,1,17500,5806000,5,11/6/20 16:52,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I am trying very hard to lose weight.  I succeed, then fail without going forward.  Very frustrating.  It used to be so easy.","I am trying very hard to lose weight.  I succeed, then fail without going forward.  Very frustrating.  It used to be so easy.",*Obesity*: I am obese or weigh too much,obsesity,health,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Not saving enough money for an upcoming move.,Not saving enough money for an upcoming move.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*None of these categories apply other than the one I already picked on the last question*,none
25.5,0,40,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/6/20 11:41,1980,2,United States,"$40,000 to $59,999",1,3,50000,5806008,5,11/6/20 16:53,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,My biggest problem in my life right now financial.,My biggest problem in my life right now financial.,*Low income*: I don't have enough income,notEnoughIncome,money,*Disorganization*: I am too disorganized,disorganized,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Not organizing my time so that I can get stuff done during the day.,Not organizing my time so that I can get stuff done during the day.,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead,behavior,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet
14.55,0,25,desktop,male,completedBachelorsDegree,11/6/20 11:41,1995,5,United States,"$40,000 to $59,999",0,3,50000,5806038,5,11/6/20 17:04,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Workplace,Workplace,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*Dislike work*: I dislike my job or career,dislikeJob,work,"No, it would not",0,Career pressure,Career pressure,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,*Dislike work*: I dislike my job or career,dislikeJob
14.12,0,29,desktop,female,completedBachelorsDegree,11/6/20 11:41,1991,5,United States,"$60,000 to $84,999",1,4,72500,5806059,5,11/6/20 17:07,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The biggest problem I  am facing is an economic loss at my job. I am working less hours now and I am worried the office can close down due to the pandemic.,The biggest problem I  am facing is an economic loss at my job. I am working less hours now and I am worried the office can close down due to the pandemic.,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"No, it would not",0,"My second biggest problem is that my family leaves a bit far away. I would like to leave closer to them and eventually, I will move to the same area.","My second biggest problem is that my family leaves a bit far away. I would like to leave closer to them and eventually, I will move to the same area.","*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,"*Lack of help*: I don't have a social safety net, so there aren't enough people to get help from if I need it (e.g., I feel that I am on my own in life)",noSocialSafetyNet
39.12,0,40,desktop,female,completedTradeTechicalVocationalTraing,11/6/20 11:41,1980,3,United States,"$40,000 to $59,999",1,3,50000,5805953,5,11/6/20 16:42,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Trying to pay down debt and take care of regular monthly bills at the same time and buying gifts for the holidays.,Trying to pay down debt and take care of regular monthly bills at the same time and buying gifts for the holidays.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,"*Impulsivity*: I act impulsively, make impulsive decisions, or take action too often without thinking",impulsivity,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Anxiety and depression issues,Anxiety and depression issues,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety,psychology,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression
14.23,0,34,desktop,male,completedBachelorsDegree,11/6/20 11:47,1986,5,United States,"$85,000 to $114,999",0,5,100000,5806061,5,11/6/20 17:08,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,HEALTH CRISIS,HEALTH CRISIS,*Health issue*: I have health problems or an illness,unemployment,health,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf,behavior,"Yes, it still would likely be one of my two biggest life problems without COVID",1,FINANCIAL CRISIS,FINANCIAL CRISIS,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead
15.5,0,27,desktop,male,completedBachelorsDegree,11/6/20 11:41,1993,5,United States,"$85,000 to $114,999",0,5,100000,5806057,5,11/6/20 17:07,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life right now would be that my mother is terminally ill.,The single biggest problem in my life right now would be that my mother is terminally ill.,"*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"Yes, it still would likely be one of my two biggest life problems without COVID",1,My second biggest problem is having to work from home.,My second biggest problem is having to work from home.,*Dislike work*: I dislike my job or career,dislikeJob,work,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt
14.65,0,27,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 12:08,1993,2,United States,"$25,000 to $39,999",0,2,32500,5806063,5,11/6/20 17:08,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,Job/financial insecurity due to the coronavirus.,Job/financial insecurity due to the coronavirus.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"No, it would not",0,Uncertainty regarding the election,Uncertainty regarding the election,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*None of these categories apply other than the one I already picked on the last question*,none
36.98,0,33,desktop,male,completedBachelorsDegree,11/6/20 11:44,1987,5,United States,"$40,000 to $59,999",0,3,50000,5805970,5,11/6/20 16:46,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,unpredictability of the future,unpredictability of the future,*Other*: (something else not mentioned in this list),other,other,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"No, it would not",0,lack of finances,lack of finances,*Low income*: I don't have enough income,notEnoughIncome,money,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind
18.83,0,47,desktop,female,completedMastersDegree,11/6/20 12:02,1973,6,United States,"$40,000 to $59,999",1,3,50000,5806039,5,11/6/20 17:04,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem the very seriously handle the life.,The single biggest problem the very seriously handle the life.,"*Low self-confidence*: I lack self-confidence, or don't stand up for myself, or believe that I am worthless",lackSelfConfidenceOrDoNotStandUpForSelf,psychology,"*Low self-confidence*: I lack self-confidence, or don't stand up for myself, or believe that I am worthless",none,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,One of biggest problem the covid-19,One of biggest problem the covid-19,*Unsatisfied desire*: I really want something that I cannot have,reallWantSomethingCannotHave,desire,*Bad habits*: I have bad habits that I struggle to break (*not* including addiction to drugs or alcohol),negativeAttitude
20.72,0,62,desktop,male,completedOnlyHighSchoolOrTheEquivalent,11/6/20 12:01,1958,2,United States,"$60,000 to $84,999",0,4,72500,5806033,5,11/6/20 17:02,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"The disposition of my mother's estate that involves the sale of a house that has been abandoned for two years and is in disrepair and is close to being foreclosed on. Making matters even more difficult, it is in another state about 1000 miles from where I live.","The disposition of my mother's estate that involves the sale of a house that has been abandoned for two years and is in disrepair and is close to being foreclosed on. Making matters even more difficult, it is in another state about 1000 miles from where I live.","*Legal issue*: I have legal challenges (e.g., a lawsuit, or being charged with a crime, or a custody battle)",legalChallenge,legal,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,"We plan to begin searching for a new house to by after the holidays and the market in our area is VERY competitive and homes are selling almost as soon as they are listed. In addition, we have very specific criteria for our new home that are not terribly common and will make finding a suitable home difficult enough without the added challenge of a very competitive market for home buyers.","We plan to begin searching for a new house to by after the holidays and the market in our area is VERY competitive and homes are selling almost as soon as they are listed. In addition, we have very specific criteria for our new home that are not terribly common and will make finding a suitable home difficult enough without the added challenge of a very competitive market for home buyers.","*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers
21.93,0,55,desktop,female,completedMastersDegree,11/6/20 11:46,1965,6,United States,"$85,000 to $114,999",1,5,100000,5806032,5,11/6/20 17:01,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"The biggest problem in my life right now is the Coronavirus pandemic. I haven't been diagnosed with the virus, but my life and everyone around me, the country and the world is negatively affected by this.  Life can't go back to normal for anyone until this is resolved.","The biggest problem in my life right now is the Coronavirus pandemic. I haven't been diagnosed with the virus, but my life and everyone around me, the country and the world is negatively affected by this.  Life can't go back to normal for anyone until this is resolved.","*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"No, it would not",0,"The second biggest problem in my life is my health.  It is not life threatening, but I have an autoimmune disease that needs to be carefully treated and monitored.  It has been getting moderately worse over the past couple of years, so this is a concern for me now and in the future.","The second biggest problem in my life is my health.  It is not life threatening, but I have an autoimmune disease that needs to be carefully treated and monitored.  It has been getting moderately worse over the past couple of years, so this is a concern for me now and in the future.",*Health issue*: I have health problems or an illness,unemployment,health,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen
